Time Quat_X Quat_Y Quat_Z Quat_W Pos_X Pos_Y Pos_Z
2.400000 0.163476 -0.322677 0.690453 -0.626443 -228.475708 1165.104126 34.890511
2.408333 0.163437 -0.322657 0.690494 -0.626418 -228.472397 1165.104980 34.890324
2.416667 0.163451 -0.323075 0.690401 -0.626301 -228.450745 1165.075806 34.888573
2.425000 0.163430 -0.323235 0.690405 -0.626220 -228.439499 1165.064575 34.887596
2.433333 0.163429 -0.322853 0.690475 -0.626340 -228.463226 1165.093872 34.889080
2.441667 0.163403 -0.323152 0.690423 -0.626250 -228.442154 1165.070801 34.885395
2.450000 0.163412 -0.322792 0.690486 -0.626363 -228.461411 1165.094360 34.887619
2.458333 0.163452 -0.322672 0.690485 -0.626416 -228.477356 1165.102295 34.890999
2.466667 0.163417 -0.323108 0.690421 -0.626271 -228.447205 1165.074951 34.887321
2.475000 0.163416 -0.322802 0.690487 -0.626356 -228.469513 1165.095215 34.890541
2.483333 0.163408 -0.323156 0.690430 -0.626238 -228.446640 1165.072021 34.886791
2.491667 0.163415 -0.323254 0.690408 -0.626210 -228.436630 1165.063599 34.884476
2.500000 0.163474 -0.322801 0.690445 -0.626388 -228.470535 1165.095337 34.890034
2.508333 0.163443 -0.323130 0.690412 -0.626263 -228.448380 1165.071533 34.886784
2.516667 0.163450 -0.322834 0.690479 -0.626340 -228.468826 1165.094482 34.889893
2.525000 0.164216 -0.322610 0.690039 -0.626739 -228.409622 1165.070923 34.916134
2.533333 0.163657 -0.322657 0.690372 -0.626494 -228.459534 1165.097290 34.896694
2.541667 0.163476 -0.323116 0.690414 -0.626259 -228.444366 1165.072144 34.888081
2.550000 0.163422 -0.322818 0.690489 -0.626344 -228.466873 1165.093506 34.887394
2.558333 0.163409 -0.322742 0.690511 -0.626363 -228.471680 1165.098389 34.887768
2.566667 0.163451 -0.322681 0.690518 -0.626375 -228.474167 1165.100586 34.891144
2.575000 0.163427 -0.323115 0.690448 -0.626235 -228.447250 1165.070313 34.887566
2.583333 0.163432 -0.323254 0.690422 -0.626191 -228.441208 1165.064331 34.886032
2.591667 0.163446 -0.323304 0.690393 -0.626193 -228.436218 1165.060547 34.886009
